date,2014-01-06 08:00:00,2014-01-06 10:00:00,2014-01-06 12:00:00,2014-01-06 14:00:00,2014-01-06 16:00:00,2014-01-06 18:00:00,2014-01-07 08:00:00,2014-01-07 10:00:00,2014-01-07 12:00:00,2014-01-07 14:00:00,2014-01-07 16:00:00,2014-01-07 18:00:00,2014-01-07 20:00:00,2014-01-08 08:00:00,2014-01-08 10:00:00,2014-01-08 12:00:00,2014-01-08 14:00:00,2014-01-08 16:00:00,2014-01-08 18:00:00,2014-01-08 20:00:00,2014-01-08 22:00:00,2014-01-09 08:00:00,2014-01-09 10:00:00,2014-01-09 12:00:00,2014-01-09 14:00:00,2014-01-09 16:00:00,2014-01-09 18:00:00,2014-01-09 20:00:00,2014-01-09 22:00:00,2014-01-10 08:00:00,2014-01-10 10:00:00,2014-01-10 12:00:00,2014-01-10 14:00:00,2014-01-10 16:00:00,2014-01-10 18:00:00,2014-01-10 20:00:00,2014-01-13 10:00:00,2014-01-13 12:00:00,2014-01-13 14:00:00,2014-01-13 16:00:00,2014-01-13 18:00:00,2014-01-13 20:00:00,2014-01-13 22:00:00,2014-01-14 08:00:00,2014-01-14 10:00:00,2014-01-14 12:00:00,2014-01-14 14:00:00,2014-01-14 16:00:00,2014-01-14 18:00:00,2014-01-14 20:00:00,2014-01-15 10:00:00,2014-01-15 12:00:00,2014-01-15 14:00:00,2014-01-15 16:00:00,2014-01-15 18:00:00,2014-01-15 20:00:00,2014-01-16 10:00:00,2014-01-16 12:00:00,2014-01-16 14:00:00,2014-01-16 16:00:00,2014-01-16 18:00:00,2014-01-16 20:00:00,2014-01-17 08:00:00,2014-01-17 10:00:00,2014-01-17 12:00:00,2014-01-17 14:00:00,2014-01-17 16:00:00,2014-01-17 18:00:00,2014-01-17 20:00:00
2014-01-06 08:00:00,1.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0
2014-01-06 10:00:00,0.0,1.0,0.043,0.0,0.077,0.0,0.778,0.016,0.0,0.375,0.0,0.0,0.0,0.0,0.333,0.0,0.103,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.083,0.353,0.0,0.0,0.008,0.0,0.091,0.0,0.091,0.5,0.0,0.0,0.231,0.0,0.011,0.0,0.0,0.412,0.08,0.0,0.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.024,0.059,0.143
2014-01-06 12:00:00,0.0,0.043,1.0,0.077,0.013,0.0,0.0,0.0,0.0,0.037,0.0,0.032,0.0,0.0,0.071,0.048,0.025,0.032,0.012,0.0,0.0,0.0,0.014,0.074,0.083,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.019,0.012,0.011,0.0,0.0,0.0,0.049,0.023,0.15,0.154,0.0,0.059,0.0,0.032,0.0,0.027,0.065,0.022,0.0,0.013,0.071,0.02,0.074,0.0,0.036,0.012,0.0,0.026,0.0,0.0,0.0,0.038,0.0,0.012,0.143,0.077,0.071
2014-01-06 14:00:00,0.0,0.0,0.077,1.0,0.088,0.0,0.0,0.079,0.037,0.182,0.034,0.25,0.0,0.0,0.0,0.053,0.068,0.429,0.025,0.0,0.0,0.0,0.095,0.0,0.156,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.07,0.0,0.038,0.071,0.079,0.048,0.167,0.0,0.0,0.0,0.0,0.049,0.0,0.161,0.033,0.022,0.0,0.086,0.037,0.021,0.018,0.0,0.038,0.078,0.037,0.086,0.0,0.0,0.0,0.316,0.045,0.066,0.278,0.143,0.0
2014-01-06 16:00:00,0.016,0.077,0.013,0.088,1.0,0.0,0.079,0.785,0.027,0.138,0.022,0.099,0.0,0.0,0.056,0.015,0.693,0.099,0.016,0.0,0.0,0.0,0.746,0.0,0.133,0.029,0.014,0.0,0.0,0.0,0.078,0.0,0.087,0.675,0.053,0.0,0.087,0.04,0.072,0.333,0.03,0.0,0.0,0.0,0.061,0.386,0.04,0.167,0.026,0.037,0.0,0.746,0.101,0.081,0.051,0.0,0.087,0.679,0.013,0.036,0.0,0.0,0.0,0.106,0.0,0.593,0.093,0.086,0.0
2014-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07 08:00:00,0.0,0.778,0.0,0.0,0.079,0.0,1.0,0.016,0.0,0.429,0.0,0.0,0.0,0.0,0.375,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.6,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.467,0.081,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.048
2014-01-07 10:00:00,0.0,0.016,0.0,0.079,0.785,0.0,0.016,1.0,0.029,0.046,0.023,0.091,0.0,0.0,0.014,0.016,0.658,0.091,0.0,0.0,0.0,0.0,0.85,0.0,0.068,0.041,0.0,0.0,0.0,0.0,0.016,0.017,0.08,0.757,0.047,0.017,0.062,0.043,0.051,0.318,0.016,0.014,0.0,0.0,0.032,0.417,0.043,0.147,0.014,0.023,0.0,0.815,0.061,0.052,0.054,0.0,0.03,0.736,0.014,0.026,0.0,0.0,0.0,0.098,0.0,0.597,0.086,0.065,0.014
2014-01-07 12:00:00,0.0,0.0,0.0,0.037,0.027,0.0,0.0,0.029,1.0,0.037,0.022,0.032,0.0,0.0,0.0,0.048,0.025,0.032,0.012,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.022,0.0,0.0,0.032,0.024,0.023,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.027,0.0,0.011,0.0,0.026,0.0,0.01,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.012,0.021,0.0,0.0
2014-01-07 14:00:00,0.0,0.375,0.037,0.182,0.138,0.0,0.429,0.046,0.037,1.0,0.022,0.154,0.0,0.067,0.217,0.053,0.129,0.111,0.012,0.0,0.0,0.0,0.062,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.04,0.052,0.045,0.0,0.227,0.034,0.051,0.039,0.105,0.0,0.0,0.0,0.294,0.041,0.0,0.286,0.0,0.0,0.0,0.056,0.333,0.065,0.0,0.0,0.35,0.051,0.037,0.027,0.0,0.111,0.0,0.19,0.045,0.095,0.095,0.081,0.0
2014-01-07 16:00:00,0.0,0.0,0.0,0.034,0.022,0.0,0.0,0.023,0.022,0.022,1.0,0.067,0.0,0.0,0.0,0.012,0.029,0.044,0.042,0.0,0.0,0.0,0.039,0.07,0.041,0.088,0.072,0.0,0.0,0.0,0.0,0.0,0.054,0.028,0.586,0.0,0.0,0.022,0.019,0.053,0.012,0.0,0.0,0.0,0.0,0.027,0.011,0.031,0.032,0.053,0.0,0.029,0.022,0.045,0.061,0.0,0.011,0.028,0.011,0.132,0.012,0.012,0.0,0.034,0.0,0.021,0.078,0.082,0.045
2014-01-07 18:00:00,0.0,0.0,0.032,0.25,0.099,0.0,0.0,0.091,0.032,0.154,0.067,1.0,0.0,0.0,0.0,0.091,0.078,0.259,0.048,0.0,0.0,0.0,0.106,0.033,0.242,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.118,0.103,0.0,0.033,0.03,0.071,0.079,0.087,0.0,0.0,0.0,0.0,0.065,0.03,0.176,0.029,0.01,0.0,0.096,0.067,0.01,0.0,0.0,0.033,0.101,0.032,0.05,0.0,0.0,0.0,0.318,0.0,0.104,0.136,0.189,0.0
2014-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.143,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
